id,SalePrice
1461,120038.97653910173
1462,152903.2775939986
1463,181963.13661591779
1464,195520.25374780234
1465,199062.53524345323
1466,171908.44139288162
1467,178089.92404580885
1468,161427.73325332525
1469,194277.88506496898
1470,119943.68682105571
1471,189341.58472808255
1472,97744.82260651977
1473,95786.35070475194
1474,146473.45409933932
1475,113063.45491977438
1476,361919.9278775451
1477,251186.21413175573
1478,295412.7752789544
1479,301798.82065708254
1480,472809.90053628816
1481,326428.9960395464
1482,210845.18245169742
1483,177276.45899129286
1484,162212.69668403693
1485,191945.40617205796
1486,192797.2391212154
1487,339664.03735860134
1488,238328.8431329839
1489,194305.74883002572
1490,231208.14016574793
1491,195096.5780966488
1492,92974.11947451667
1493,190441.61968921273
1494,300625.86365839146
1495,292538.2473712206
1496,232889.0873490432
1497,180167.14930135876
1498,167901.89548210712
1499,161952.91323095988
1500,152023.5171418966
1501,173871.31777533883
1502,144883.322496222
1503,291263.81678373436
1504,242757.74473671542
1505,225818.3267404172
1506,187663.81894878796
1507,246859.2546030434
1508,203215.83401776507
1509,163650.8594976304
1510,143239.46968618748
1511,148389.8526932101
1512,175027.32405234524
1513,152305.88190623088
1514,154518.31990672945
1515,196829.73022240406
1516,157774.52097385877
1517,168396.1112066245
1518,132726.19606318168
1519,208509.98549169497
1520,127296.9413182889
1521,130073.30718678552
1522,178051.28821144527
1523,110725.12096633491
1524,125304.83373513781
1525,120699.31075222132
1526,113522.92912830893
1527,108080.32684460792
1528,136893.65497199463
1529,149955.18217752757
1530,183765.15957692487
1531,106176.14638485062
1532,98820.8216217934
1533,143561.35142748768
1534,127463.40451986785
1535,147889.30436625797
1536,107341.76407469086
1537,64736.28323424994
1538,147111.43689871265
1539,192963.8825938553
1540,94558.23194091642
1541,138994.9527982194
1542,139637.51548987327
1543,190369.34220749213
1544,84483.7975438381
1545,115465.39757458334
1546,135206.05735426547
1547,127611.11201731034
1548,138899.41933856055
1549,119695.91083526284
1550,135077.9138432609
1551,108785.54278422272
1552,135707.09047102084
1553,148404.52258741995
1554,116809.44772110358
1555,159714.47943614126
1556,85517.59748824117
1557,105530.97792645861
1558,97803.01766310347
1559,62746.31880817346
1560,136468.79741032337
1561,129532.67901483367
1562,129906.14515923729
1563,117997.68787384802
1564,155106.07932474834
1565,151362.9345450722
1566,238029.11668469827
1567,77185.1219045784
1568,230656.98037812498
1569,127448.10837852283
1570,138674.54640386638
1571,123037.19550533082
1572,141886.83462751668
1573,237370.75578014113
1574,119205.83634973981
1575,228111.4599562121
1576,241788.76125202113
1577,182097.259648107
1578,148946.427100499
1579,144548.54179161982
1580,197116.86942393094
1581,152670.33374944574
1582,125722.57471549742
1583,296219.90244379675
1584,215542.12243060902
1585,136266.3487607115
1586,67369.1725925135
1587,104582.18554570142
1588,151061.63704745128
1589,96515.43328664276
1590,133990.47702778337
1591,92160.64570117684
1592,114305.55312529957
1593,128178.13688535136
1594,124278.84436791186
1595,107239.43616329701
1596,222531.5222486559
1597,192990.33028414924
1598,228233.79706666197
1599,172355.37418455433
1600,162867.47284849492
1601,69221.64263200265
1602,116621.12728671772
1603,71009.76019096214
1604,259461.91105250374
1605,244142.1382076851
1606,168373.1591760875
1607,175308.2029797189
1608,214448.4710514863
1609,185560.63461393543
1610,150735.53083309537
1611,138317.13496273317
1612,170650.10712348693
1613,161885.93303036503
1614,128746.1661415442
1615,93187.39286642353
1616,77223.37708659793
1617,95268.83218526715
1618,124712.31580816244
1619,140260.91547067062
1620,152741.01165864116
1621,137300.08823653354
1622,141610.34866314256
1623,263020.89688823366
1624,210226.66686365465
1625,120677.23613175031
1626,170450.01387875917
1627,190756.48237194953
1628,279679.9620388829
1629,184894.69254493652
1630,345218.0149173669
1631,228858.56499237716
1632,245103.37027629744
1633,174647.9960374635
1634,185167.5714495107
1635,176554.9476161036
1636,153207.42501265154
1637,198929.268533286
1638,180685.89403596747
1639,190256.02907164735
1640,251125.4807438156
1641,185051.69495750172
1642,237919.15435509427
1643,216221.32636921617
1644,232993.759593358
1645,195924.50942107593
1646,158655.27580528505
1647,162618.17940677577
1648,130122.98575691262
1649,139041.7194596498
1650,114439.76221779795
1651,120889.21275996086
1652,98103.56541661022
1653,99831.13104360177
1654,146083.03490269213
1655,138768.14593526183
1656,140830.56572823366
1657,147765.22592454636
1658,143737.6873791621
1659,119950.32234821939
1660,155842.49954625237
1661,420556.1749636651
1662,409644.4925991657
1663,379737.5804066736
1664,408347.2376627365
